avg_sale_price,color,highest_bid,lowest_ask,number_of_sales,price_premium,product_title,release_date,retail_price,style,volatility
1879, Shy Pink/Vanilla ,2450,2450,76,1539.3,Nike Dunk SB Low Stussy Cherry, 07/01/2005 ,150, 304292-671 ,14.5
192, Raw Umber/Fortress Green-Black Earth ,251,115,76,-43.9,Nike Air Max 97 Country Camo (UK), 12/21/2017 ,180, AJ2614-201 ,42.6
1438, Lime Green/Varsity Red/Black ,1100,1050,87,753.8,Nike Kobe 6 Grinch, 12/25/2010 ,130, 429659-701 ,28.8
198, Medium Olive/Black-Dark Army-Dark Khaki ,251,130,89,42.8,Nike Air Max 97 Country Camo (France), 12/21/2017 ,180, AJ2614-200 ,21.1
306, White/University Red-Neutral Grey-Black ,400,392,96,175,Nike Air Max 1 Anniversary Red (2017), 03/04/2017 ,140, 908375-100 ,22.4
314, White/Game Royal-Neutral Grey-Black ,375,330,102,221.4,Nike Air Max 1 Anniversary Royal (2017), 03/11/2017 ,140, 908375-101 ,13.8
141, Raw Indigo/Raw Indigo-Dark Obsidian-Total Orange-Summit White ,135,140,103,23.1,Nike Air Force 1 Low 3x1 Denim Raw Indigo, 05/24/2019 ,130, 905345-402 ,23.9
214, Bamboo/Black-Dark Khaki-Sequoia ,251,113,107,43.1,Nike Air Max 97 Country Camo (Germany), 12/21/2017 ,180, AJ2614-204 ,21.9
172, Ale Brown/Black-Cargo Khaki-Mushroom ,161,125,114,44.4,Nike Air Max 97 Country Camo (Italy), 12/21/2017 ,180, AJ2614-202 ,23.7
543, Black/Black-University Red-International Blue ,1050,380,144,465.4,Nike Air Max 1 Master, 03/25/2017 ,130, 910772-001 ,12.1
413, Multi-Color/Multi-Color ,467,425,191,261.2,Nike Kyrie 4 Confetti, 12/16/2017 ,120, 943806-900/AJ1691-900 ,13.2
542, Black/Black-White ,670,500,141,136.8,"Nike Air More Uptempo Supreme ""Suptempo"" Black", 04/27/2017 ,190, 902290-001 ,14.9
830, Medium Grey/Clear Jade-Black-White ,1200,698,231,784.5,Nike Air Max 1 Atmos Elephant (2017), 03/18/2017 ,150, 908366-001 ,11.5
